day,time,origin_place,destination_place,mode,score,source_file
8/10/2025,10:00,Benaroya Hall,International District/Chinatown Station - light rail station,bicycling,704.4000000000001,scored_routes_all_f2_output.csv
8/10/2025,10:00,Cal Anderson Park,Seattle Aquarium,bicycling,996.0,scored_routes_all_f2_output.csv
8/10/2025,10:00,Cal Anderson Park,Waterfall Garden,bicycling,982.5,scored_routes_all_f2_output.csv
8/10/2025,10:00,Chihuly Garden and Glass,Benaroya Hall,bicycling,747.6,scored_routes_all_f2_output.csv
8/10/2025,10:00,Pike Place Market,Cal Anderson Park,bicycling,1168.8000000000002,scored_routes_all_f2_output.csv
8/10/2025,10:00,Seattle Art Museum,Stadium Station - light rail station,bicycling,810.6,scored_routes_all_f2_output.csv
8/10/2025,10:00,Seattle Art Museum,The Westin Seattle,bicycling,639.6,scored_routes_all_f2_output.csv
8/10/2025,10:00,Space Needle,Benaroya Hall,bicycling,762.0,scored_routes_all_f2_output.csv
8/10/2025,10:00,Space Needle,Westlake Park,bicycling,681.0,scored_routes_all_f2_output.csv
8/10/2025,10:00,The Westin Seattle,International Fountain,bicycling,771.9,scored_routes_all_f2_output.csv
8/10/2025,10:00,Westlake Park,International District/Chinatown Station - light rail station,bicycling,738.6,scored_routes_all_f2_output.csv
8/10/2025,10:00,Westlake Park,Seattle Ferry Terminal,bicycling,808.8000000000001,scored_routes_all_f2_output.csv
8/10/2025,10:00,Westlake Park,Smith Tower,bicycling,619.8,scored_routes_all_f2_output.csv
8/10/2025,10:00,Westlake Park,T-Mobile Park,bicycling,861.9,scored_routes_all_f2_output.csv
8/10/2025,11:00,Benaroya Hall,International District/Chinatown Station - light rail station,bicycling,704.4000000000001,scored_routes_all_f2_output.csv
8/10/2025,11:00,Cal Anderson Park,Seattle Aquarium,bicycling,996.0,scored_routes_all_f2_output.csv
8/10/2025,11:00,Cal Anderson Park,Waterfall Garden,bicycling,982.5,scored_routes_all_f2_output.csv
8/10/2025,11:00,Chihuly Garden and Glass,Benaroya Hall,bicycling,747.6,scored_routes_all_f2_output.csv
8/10/2025,11:00,Pike Place Market,Cal Anderson Park,bicycling,1168.8000000000002,scored_routes_all_f2_output.csv
8/10/2025,11:00,Seattle Art Museum,Stadium Station - light rail station,bicycling,810.6,scored_routes_all_f2_output.csv
8/10/2025,11:00,Seattle Art Museum,The Westin Seattle,bicycling,639.6,scored_routes_all_f2_output.csv
8/10/2025,11:00,Space Needle,Benaroya Hall,bicycling,762.0,scored_routes_all_f2_output.csv
8/10/2025,11:00,Space Needle,Westlake Park,bicycling,681.0,scored_routes_all_f2_output.csv
8/10/2025,11:00,The Westin Seattle,International Fountain,bicycling,771.9,scored_routes_all_f2_output.csv
8/10/2025,11:00,Westlake Park,International District/Chinatown Station - light rail station,bicycling,738.6,scored_routes_all_f2_output.csv
8/10/2025,11:00,Westlake Park,Seattle Ferry Terminal,bicycling,808.8000000000001,scored_routes_all_f2_output.csv
8/10/2025,11:00,Westlake Park,Smith Tower,bicycling,619.8,scored_routes_all_f2_output.csv
