timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source
1754312400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,338.0,api
1754312400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1655,628,,api
1754312400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754312400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754316000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,321.0,api
1754316000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754316000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754316000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754319600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,348.0,api
1754319600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754319600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754319600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754323200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,398.0,api
1754323200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754323200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754323200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754326800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,428.0,api
1754326800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754326800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754326800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754330400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,460.0,api
1754330400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,687,,api
1754330400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754330400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754334000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,485.0,api
1754334000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,747,,api
1754334000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754334000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754337600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,476.0,api
1754337600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,663,,api
1754337600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754337600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754341200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,473.0,api
1754341200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754341200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754341200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754344800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,495.0,api
1754344800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1703,743,,api
1754344800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754344800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754348400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,534.0,api
1754348400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754348400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754348400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754352000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,571.0,api
1754352000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754352000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754352000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754355600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,493.0,api
1754355600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754355600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754355600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754359200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,394.0,api
1754359200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1703,758,,api
1754359200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754359200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754362800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,356.0,api
1754362800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,669,,api
1754362800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754362800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754366400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,357.0,api
1754366400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,2059,900,,api
1754366400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754366400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754370000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,339.0,api
1754370000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754370000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754370000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754398800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,342.0,api
1754398800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1655,628,,api
1754398800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754398800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754402400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,352.0,api
1754402400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754402400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754402400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754406000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,387.0,api
1754406000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754406000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754406000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754409600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,445.0,api
1754409600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754409600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754409600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754413200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,452.0,api
1754413200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754413200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754413200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754416800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,465.0,api
1754416800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,687,,api
1754416800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754416800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754420400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,503.0,api
1754420400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,747,,api
1754420400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754420400,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754424000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,472.0,api
1754424000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1583,663,,api
1754424000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754424000,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754427600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,494.0,api
1754427600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
1754427600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754427600,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754431200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,533.0,api
1754431200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1703,743,,api
1754431200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,walking,1573,1336,,api
1754431200,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,bicycling,1613,604,,api
1754434800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,driving,1676,429,614.0,api
1754434800,The Westin Seattle,47.613693189262335,-122.338198,Smith Tower,47.60184879738976,-122.3318543,transit,1603,483,,api
