day,hour_of_day,driving,transit,bicycling,walking
8/10/2025,6,66,2,1,1
8/10/2025,7,59,8,2,1
8/10/2025,8,62,1,4,3
8/10/2025,9,61,3,3,3
8/10/2025,10,64,2,0,4
8/10/2025,11,65,1,1,3
8/10/2025,12,61,3,2,4
8/10/2025,13,66,3,1,0
8/10/2025,14,68,0,0,2
8/10/2025,15,67,0,1,2
8/10/2025,16,66,1,2,1
8/10/2025,17,66,1,2,1
8/10/2025,18,66,0,2,2
8/10/2025,19,66,1,1,2
8/10/2025,20,67,0,1,2
8/10/2025,21,63,0,4,3
8/10/2025,22,62,3,4,1
8/4/2025,6,66,2,1,1
8/4/2025,7,59,8,2,1
8/4/2025,8,62,1,4,3
8/4/2025,9,61,3,3,3
8/4/2025,10,64,2,0,4
8/4/2025,11,65,1,1,3
8/4/2025,12,61,3,2,4
8/4/2025,13,66,3,1,0
8/4/2025,14,68,0,0,2
8/4/2025,15,67,0,1,2
8/4/2025,16,66,1,2,1
8/4/2025,17,66,1,2,1
8/4/2025,18,66,0,2,2
8/4/2025,19,66,1,1,2
8/4/2025,20,67,0,1,2
8/4/2025,21,63,0,4,3
8/4/2025,22,62,3,4,1
8/5/2025,6,66,2,1,1
8/5/2025,7,59,8,2,1
8/5/2025,8,62,1,4,3
8/5/2025,9,61,3,3,3
8/5/2025,10,64,2,0,4
8/5/2025,11,65,1,1,3
8/5/2025,12,61,3,2,4
8/5/2025,13,66,3,1,0
8/5/2025,14,68,0,0,2
8/5/2025,15,67,0,1,2
8/5/2025,16,66,1,2,1
8/5/2025,17,66,1,2,1
8/5/2025,18,66,0,2,2
8/5/2025,19,66,1,1,2
8/5/2025,20,67,0,1,2
8/5/2025,21,63,0,4,3
8/5/2025,22,62,3,4,1
8/6/2025,6,66,2,1,1
8/6/2025,7,59,8,2,1
8/6/2025,8,62,1,4,3
8/6/2025,9,61,3,3,3
8/6/2025,10,64,2,0,4
8/6/2025,11,65,1,1,3
8/6/2025,12,61,3,2,4
8/6/2025,13,66,3,1,0
8/6/2025,14,68,0,0,2
8/6/2025,15,67,0,1,2
8/6/2025,16,66,1,2,1
8/6/2025,17,66,1,2,1
8/6/2025,18,66,0,2,2
8/6/2025,19,66,1,1,2
8/6/2025,20,67,0,1,2
8/6/2025,21,63,0,4,3
8/6/2025,22,62,3,4,1
8/7/2025,6,66,2,1,1
8/7/2025,7,59,8,2,1
8/7/2025,8,62,1,4,3
8/7/2025,9,61,3,3,3
8/7/2025,10,64,2,0,4
8/7/2025,11,65,1,1,3
8/7/2025,12,61,3,2,4
8/7/2025,13,66,3,1,0
8/7/2025,14,68,0,0,2
8/7/2025,15,67,0,1,2
8/7/2025,16,66,1,2,1
8/7/2025,17,66,1,2,1
8/7/2025,18,66,0,2,2
8/7/2025,19,66,1,1,2
8/7/2025,20,67,0,1,2
8/7/2025,21,63,0,4,3
8/7/2025,22,62,3,4,1
8/8/2025,6,66,2,1,1
8/8/2025,7,59,8,2,1
8/8/2025,8,62,1,4,3
8/8/2025,9,61,3,3,3
8/8/2025,10,64,2,0,4
8/8/2025,11,65,1,1,3
8/8/2025,12,61,3,2,4
8/8/2025,13,66,3,1,0
8/8/2025,14,68,0,0,2
8/8/2025,15,67,0,1,2
8/8/2025,16,66,1,2,1
8/8/2025,17,66,1,2,1
8/8/2025,18,66,0,2,2
8/8/2025,19,66,1,1,2
8/8/2025,20,67,0,1,2
8/8/2025,21,63,0,4,3
8/8/2025,22,62,3,4,1
8/9/2025,6,66,2,1,1
8/9/2025,7,59,8,2,1
8/9/2025,8,62,1,4,3
8/9/2025,9,61,3,3,3
8/9/2025,10,64,2,0,4
8/9/2025,11,65,1,1,3
8/9/2025,12,61,3,2,4
8/9/2025,13,66,3,1,0
8/9/2025,14,68,0,0,2
8/9/2025,15,67,0,1,2
8/9/2025,16,66,1,2,1
8/9/2025,17,66,1,2,1
8/9/2025,18,66,0,2,2
8/9/2025,19,66,1,1,2
8/9/2025,20,67,0,1,2
8/9/2025,21,63,0,4,3
8/9/2025,22,62,3,4,1
,,,,,
