day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source
8/4/2025,6:00,1754312400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,502,api
8/4/2025,6:00,1754312400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,6:00,1754312400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,6:00,1754312400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,7:00,1754316000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,490,api
8/4/2025,7:00,1754316000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,7:00,1754316000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,7:00,1754316000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,8:00,1754319600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,490,api
8/4/2025,8:00,1754319600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,8:00,1754319600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,8:00,1754319600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,9:00,1754323200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,569,api
8/4/2025,9:00,1754323200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,9:00,1754323200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,9:00,1754323200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,10:00,1754326800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,570,api
8/4/2025,10:00,1754326800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,10:00,1754326800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,10:00,1754326800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,11:00,1754330400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,590,api
8/4/2025,11:00,1754330400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,11:00,1754330400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,11:00,1754330400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,583,api
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,576,api
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,550,api
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,15:00,1754344800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,568,api
8/4/2025,15:00,1754344800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,15:00,1754344800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,15:00,1754344800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,16:00,1754348400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,621,api
8/4/2025,16:00,1754348400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,16:00,1754348400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,16:00,1754348400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,17:00,1754352000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,687,api
8/4/2025,17:00,1754352000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,17:00,1754352000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,17:00,1754352000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,18:00,1754355600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,636,api
8/4/2025,18:00,1754355600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,18:00,1754355600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,18:00,1754355600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,19:00,1754359200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2101,580,560,api
8/4/2025,19:00,1754359200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,19:00,1754359200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,19:00,1754359200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,20:00,1754362800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2101,580,543,api
8/4/2025,20:00,1754362800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,20:00,1754362800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,20:00,1754362800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,21:00,1754366400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2101,580,526,api
8/4/2025,21:00,1754366400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,21:00,1754366400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,21:00,1754366400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/4/2025,22:00,1754370000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2101,580,521,api
8/4/2025,22:00,1754370000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/4/2025,22:00,1754370000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/4/2025,22:00,1754370000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,6:00,1754398800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,505,api
8/5/2025,6:00,1754398800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,6:00,1754398800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,6:00,1754398800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,7:00,1754402400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,505,api
8/5/2025,7:00,1754402400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,7:00,1754402400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,7:00,1754402400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,8:00,1754406000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,519,api
8/5/2025,8:00,1754406000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,8:00,1754406000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,8:00,1754406000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,9:00,1754409600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,560,api
8/5/2025,9:00,1754409600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,9:00,1754409600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,9:00,1754409600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,10:00,1754413200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,565,api
8/5/2025,10:00,1754413200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,10:00,1754413200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,10:00,1754413200,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,11:00,1754416800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,591,api
8/5/2025,11:00,1754416800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,11:00,1754416800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,11:00,1754416800,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,12:00,1754420400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,582,api
8/5/2025,12:00,1754420400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,12:00,1754420400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,12:00,1754420400,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,13:00,1754424000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,585,api
8/5/2025,13:00,1754424000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,transit,2866,681,,api
8/5/2025,13:00,1754424000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,walking,2037,1636,,api
8/5/2025,13:00,1754424000,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,bicycling,2032,571,,api
8/5/2025,14:00,1754427600,Cal Anderson Park,47.61699686088056,-122.3191329,Benaroya Hall,47.60814199288301,-122.3368088,driving,2182,592,586,api
