day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source,duration_final,emissions,score
8/4/2025,6:00,1754312400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,388.0,api,388.0,397.44,4.2100977777777775
8/4/2025,6:00,1754312400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,6:00,1754312400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,6:00,1754312400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,7:00,1754316000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,428.0,api,428.0,397.44,4.521208888888889
8/4/2025,7:00,1754316000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,7:00,1754316000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,7:00,1754316000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,8:00,1754319600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,496.0,api,496.0,397.44,5.050097777777777
8/4/2025,8:00,1754319600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,8:00,1754319600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,8:00,1754319600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,9:00,1754323200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,490.0,api,490.0,397.44,5.0034311111111105
8/4/2025,9:00,1754323200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,9:00,1754323200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,9:00,1754323200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,10:00,1754326800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,468.0,api,468.0,397.44,4.83232
8/4/2025,10:00,1754326800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,10:00,1754326800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,10:00,1754326800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,11:00,1754330400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,460.0,api,460.0,397.44,4.770097777777778
8/4/2025,11:00,1754330400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,11:00,1754330400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,11:00,1754330400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,12:00,1754334000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,504.0,api,504.0,397.44,5.11232
8/4/2025,12:00,1754334000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,12:00,1754334000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,12:00,1754334000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,478.0,api,478.0,397.44,4.910097777777778
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,484.0,api,484.0,397.44,4.9567644444444445
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,526.0,api,526.0,397.44,5.283431111111112
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,16:00,1754348400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,564.0,api,564.0,397.44,5.578986666666667
8/4/2025,16:00,1754348400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,16:00,1754348400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,16:00,1754348400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,17:00,1754352000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,628.0,api,628.0,397.44,6.076764444444445
8/4/2025,17:00,1754352000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,17:00,1754352000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,17:00,1754352000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,18:00,1754355600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2177,496,505.0,api,505.0,417.984,5.181729777777778
8/4/2025,18:00,1754355600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,18:00,1754355600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,18:00,1754355600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,19:00,1754359200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,426.0,api,426.0,397.44,4.505653333333333
8/4/2025,19:00,1754359200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,19:00,1754359200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,19:00,1754359200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,20:00,1754362800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,398.0,api,398.0,397.44,4.287875555555556
8/4/2025,20:00,1754362800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,20:00,1754362800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,20:00,1754362800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,21:00,1754366400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,391.0,api,391.0,397.44,4.233431111111111
8/4/2025,21:00,1754366400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,21:00,1754366400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,21:00,1754366400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/4/2025,22:00,1754370000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,385.0,api,385.0,397.44,4.186764444444444
8/4/2025,22:00,1754370000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/4/2025,22:00,1754370000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/4/2025,22:00,1754370000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/5/2025,6:00,1754398800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,387.0,api,387.0,397.44,4.20232
8/5/2025,6:00,1754398800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/5/2025,6:00,1754398800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/5/2025,6:00,1754398800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/5/2025,7:00,1754402400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,450.0,api,450.0,397.44,4.6923200000000005
8/5/2025,7:00,1754402400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,3.9853722222222223
8/5/2025,7:00,1754402400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,10.88888888888889
8/5/2025,7:00,1754402400,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,4.308888888888888
8/5/2025,8:00,1754406000,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,516.0,api,516.0,397.44,5.205653333333334
