origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,duration_sec,distance_m
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Space Needle,47.620475865973454,-122.34922662355608,driving,415,1374
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Space Needle,47.620475865973454,-122.34922662355608,walking,1130,1194
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Space Needle,47.620475865973454,-122.34922662355608,bicycling,463,1412
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Space Needle,47.620475865973454,-122.34922662355608,transit,1130,1194
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving,422,1386
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking,1206,1290
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling,473,1451
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit,1206,1290
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Seattle Aquarium,47.60738161055215,-122.34296367108706,driving,665,2714
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Seattle Aquarium,47.60738161055215,-122.34296367108706,walking,1866,2088
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Seattle Aquarium,47.60738161055215,-122.34296367108706,bicycling,852,2481
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Seattle Aquarium,47.60738161055215,-122.34296367108706,transit,1233,2295
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,driving,559,2006
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,walking,1710,1893
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,bicycling,954,2475
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,transit,1546,3012
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Museum of Pop Culture,47.621470125609314,-122.3481282699205,driving,307,1020
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Museum of Pop Culture,47.621470125609314,-122.3481282699205,walking,904,949
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Museum of Pop Culture,47.621470125609314,-122.3481282699205,bicycling,432,1287
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Museum of Pop Culture,47.621470125609314,-122.3481282699205,transit,904,949
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Discovery Park,47.66122637312634,-122.41720530872853,driving,1139,9501
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Discovery Park,47.66122637312634,-122.41720530872853,walking,7885,9274
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Discovery Park,47.66122637312634,-122.41720530872853,bicycling,2150,9456
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Discovery Park,47.66122637312634,-122.41720530872853,transit,4233,15050
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Pike Place Market,47.60939849082073,-122.3418399195103,driving,589,3439
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Pike Place Market,47.60939849082073,-122.3418399195103,walking,1589,1742
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Pike Place Market,47.60939849082073,-122.3418399195103,bicycling,619,2004
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Pike Place Market,47.60939849082073,-122.3418399195103,transit,1114,2298
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,driving,660,4302
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,walking,2242,2580
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,bicycling,1081,3048
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,transit,1651,3523
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Fremont Troll,47.65105594466806,-122.3475007419148,driving,472,4178
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Fremont Troll,47.65105594466806,-122.3475007419148,walking,3173,3651
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Fremont Troll,47.65105594466806,-122.3475007419148,bicycling,954,3917
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Fremont Troll,47.65105594466806,-122.3475007419148,transit,1139,4033
Amazon Corporate Headquarters,47.62273719968499,-122.3367529935981,Seattle Art Museum,47.60751482550527,-122.3379600261628,driving,464,3079
