timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source
1754312400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,346.0,api
1754312400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754312400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754312400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754316000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,410.0,api
1754316000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754316000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754316000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754319600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,468.0,api
1754319600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754319600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754319600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754323200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,529.0,api
1754323200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754323200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754323200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754326800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,516.0,api
1754326800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754326800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754326800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754330400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,469.0,api
1754330400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754330400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754330400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754334000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,542.0,api
1754334000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,2247,1166,,api
1754334000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754334000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754337600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,525.0,api
1754337600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754337600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754337600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754341200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,519.0,api
1754341200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1240,,api
1754341200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754341200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754344800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,616.0,api
1754344800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1178,,api
1754344800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754344800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754348400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,662.0,api
1754348400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1192,,api
1754348400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754348400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754352000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,557.0,api
1754352000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1197,,api
1754352000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754352000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754355600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,565.0,api
1754355600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1197,,api
1754355600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754355600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754359200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,481.0,api
1754359200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1251,,api
1754359200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754359200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754362800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,446.0,api
1754362800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754362800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754362800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754366400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,428.0,api
1754366400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754366400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754366400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754370000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,429.0,api
1754370000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754370000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754370000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754398800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,371.0,api
1754398800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754398800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754398800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754402400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,426.0,api
1754402400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754402400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754402400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754406000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,543.0,api
1754406000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754406000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754406000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754409600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,574.0,api
1754409600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754409600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754409600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754413200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,544.0,api
1754413200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754413200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754413200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754416800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,495.0,api
1754416800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754416800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754416800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754420400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,529.0,api
1754420400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,2247,1166,,api
1754420400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754420400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754424000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,527.0,api
1754424000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754424000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754424000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754427600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,571.0,api
1754427600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1240,,api
1754427600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754427600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754431200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,602.0,api
1754431200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1178,,api
1754431200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754431200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754434800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,672.0,api
1754434800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1192,,api
1754434800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754434800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754438400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,697.0,api
1754438400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1197,,api
1754438400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754438400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754442000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,640.0,api
1754442000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1197,,api
1754442000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754442000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754445600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,486.0,api
1754445600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1251,,api
1754445600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754445600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754449200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,471.0,api
1754449200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754449200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754449200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754452800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,438.0,api
1754452800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754452800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754452800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754456400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,439.0,api
1754456400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754456400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754456400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754485200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,365.0,api
1754485200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754485200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754485200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754488800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1799,511,406.0,api
1754488800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1157,,api
1754488800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754488800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754492400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,521.0,api
1754492400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754492400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754492400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754496000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,552.0,api
1754496000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1169,,api
1754496000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754496000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754499600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,529.0,api
1754499600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754499600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754499600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754503200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,540.0,api
1754503200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754503200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754503200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754506800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,546.0,api
1754506800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,2247,1166,,api
1754506800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754506800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754510400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,546.0,api
1754510400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1202,,api
1754510400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754510400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754514000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,568.0,api
1754514000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1751,1240,,api
1754514000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754514000,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754517600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,640.0,api
1754517600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1178,,api
1754517600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754517600,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754521200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1899,582,696.0,api
1754521200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1192,,api
1754521200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754521200,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754524800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1824,531,745.0,api
1754524800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1197,,api
1754524800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,walking,1604,1292,,api
1754524800,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,bicycling,1833,390,,api
1754528400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,driving,1838,554,687.0,api
1754528400,Space Needle,47.620475865973454,-122.3492266,Museum of History & Industry (MOHAI),47.62757702542345,-122.3369061,transit,1848,1197,,api
